             JOBID PARTITION     NAME     USER ST       TIME  NODES NODELIST(REASON)
      10178734_879   regular smina_do  p275927  R    5:16:05      1 pg-node150
      10178734_876   regular smina_do  p275927  R    5:19:10      1 pg-node119
      10178734_864   regular smina_do  p275927  R    5:22:13      1 pg-node030
      10178734_867   regular smina_do  p275927  R    5:22:13      1 pg-node083
      10178734_868   regular smina_do  p275927  R    5:22:13      1 pg-node089
      10178734_870   regular smina_do  p275927  R    5:22:13      1 pg-node108
      10178734_871   regular smina_do  p275927  R    5:22:13      1 pg-node155
      10178734_859   regular smina_do  p275927  R    5:24:15      1 pg-node124
      10178734_916   regular smina_do  p275927  R    5:00:48      1 pg-node020
      10178734_921   regular smina_do  p275927  R    5:00:48      1 pg-node148
      10178734_915   regular smina_do  p275927  R    5:01:49      1 pg-node021
      10178734_909   regular smina_do  p275927  R    5:02:50      1 pg-node049
      10178734_912   regular smina_do  p275927  R    5:02:50      1 pg-node105
      10178734_903   regular smina_do  p275927  R    5:04:52      1 pg-node146
      10178734_898   regular smina_do  p275927  R    5:05:53      1 pg-node051
      10178734_889   regular smina_do  p275927  R    5:09:57      1 pg-node026
      10178734_893   regular smina_do  p275927  R    5:09:57      1 pg-node187
      10178734_888   regular smina_do  p275927  R    5:10:58      1 pg-node100
      10178734_885   regular smina_do  p275927  R    5:14:03      1 pg-node055
      10178734_886   regular smina_do  p275927  R    5:14:03      1 pg-node099
      10178734_880   regular smina_do  p275927  R    5:15:04      1 pg-node010
      10178734_882   regular smina_do  p275927  R    5:15:04      1 pg-node027
      10178734_883   regular smina_do  p275927  R    5:15:04      1 pg-node027
      10178734_943   regular smina_do  p275927  R    4:37:24      1 pg-node174
      10178734_938   regular smina_do  p275927  R    4:40:27      1 pg-node097
      10178734_933   regular smina_do  p275927  R    4:42:29      1 pg-node207
      10178734_934   regular smina_do  p275927  R    4:42:29      1 pg-node207
      10178734_931   regular smina_do  p275927  R    4:44:31      1 pg-node203
      10178734_928   regular smina_do  p275927  R    4:45:32      1 pg-node102
      10178734_925   regular smina_do  p275927  R    4:46:33      1 pg-node095
      10178734_927   regular smina_do  p275927  R    4:46:33      1 pg-node164
      10178734_924   regular smina_do  p275927  R    4:48:35      1 pg-node040
      10178734_953   regular smina_do  p275927  R    4:33:20      1 pg-node181
      10178734_949   regular smina_do  p275927  R    4:34:21      1 pg-node142
      10178734_970   regular smina_do  p275927  R    4:26:12      1 pg-node209
      10178734_967   regular smina_do  p275927  R    4:28:15      1 pg-node141
      10178734_968   regular smina_do  p275927  R    4:28:15      1 pg-node198
      10178734_959   regular smina_do  p275927  R    4:30:17      1 pg-node010
      10178734_964   regular smina_do  p275927  R    4:30:17      1 pg-node167
      10178734_971   regular smina_do  p275927  R    4:24:09      1 pg-node042
      10178734_976   regular smina_do  p275927  R    4:09:53      1 pg-node125
      10178734_977   regular smina_do  p275927  R    4:09:53      1 pg-node141
      10178734_992   regular smina_do  p275927  R    3:57:40      1 pg-node011
      10178734_982   regular smina_do  p275927  R    4:04:48      1 pg-node085
      10178734_997   regular smina_do  p275927  R    3:55:38      1 pg-node035
